Aircraft Type,Aircraft Code,Aircraft Code (ICAO),Max. Volume [m^3],Max. Weight [ton],Weight/Volume [ton/m^3],Source
Airbus A300-600,A306,A306,158.4,23.5,0.15,https://en.wikipedia.org/wiki/Airbus_A300
Airbus A300-600RF,A306RF,A306,426.0,47.0,0.11,https://www.aircharterservice.com/aircraft-guide/cargo/airbuseurope/airbusa300-a600f
Airbus A300-B2/B4,A300B2,A30B,158.4,23.5,0.15,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A300-600-Dec-2009.pdf
Airbus A300-B4F/C4F/F4F,A300B4F,A30B,390.0,43.5,0.112,https://www.aircharterservice.com/aircraft-guide/cargo/airbuseurope/airbusa300b4f
Airbus A300-Unspecified,A306,A306,158.4,23.5,0.15,https://en.wikipedia.org/wiki/Airbus_A300
Airbus A300F-Unspecified,A306RF,A306,390.0,43.5,0.112,https://www.aircharterservice.com/aircraft-guide/cargo/airbuseurope/airbusa300b4f
Airbus A310-300,A313,A313,63.0,9.45,0.15,https://en.wikipedia.org/wiki/Airbus_A310#Variants
Airbus A310-300F,A313F,A313,265.0,39.0,0.147,https://www.aircharterservice.com/aircraft-guide/cargo/airbuseurope/airbusa310-300f
Airbus A310-Unspecified,A313,A313,63.0,9.45,0.15,https://en.wikipedia.org/wiki/Airbus_A310#Variants
Airbus A310F-Unspecified,A313F,A313,265.0,39.0,0.147,https://www.aircharterservice.com/aircraft-guide/cargo/airbuseurope/airbusa310-300f
Airbus A330-200,A332,A332,136.0,20.4,0.15,https://www.airbus.com/aircraft/passenger-aircraft/a330-family/a330-200.html#details
Airbus A330-200F,A332F,A332,475.0,70.0,0.147,https://www.airbus.com/aircraft/freighter/a330-200f.html#details
Airbus A330-300,A333,A333,162.8,24.4,0.15,https://www.airbus.com/aircraft/passenger-aircraft/a330-family/a330-300.html
Airbus A330-Unspecified,A333,A333,162.8,24.4,0.15,https://www.airbus.com/aircraft/passenger-aircraft/a330-family/a330-300.html
Airbus A340-200,A342,A342,162.8,24.4,0.15,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-200.html#details
Airbus A340-300,A343,A343,162.8,24.4,0.15,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-300.html#details
Airbus A340-500,A345,A345,153.9,23.02,0.15,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-500.html#details
Airbus A340-600,A346,A346,207.6,31.14,0.15,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-600.html#details
Airbus A340-Unspecified,A343,A343,162.8,24.4,0.15,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-200.html#details
Airbus A380-800,A388,A388,50.0,8.0,0.16,http://www.skycargo.com/english/about-us/our-fleet/?plane=1
Boeing B737-400F,B734F,B734,150,20.5,0.136,https://aviostart-bg.com/portfolio/boeing-737-400-f/
Boeing B747-200F,B742F,B742,704.6,111.0,0.157,https://www.aircharterserviceusa.com/aircraft-guide/cargo/boeing-usa/boeingb747-200f
Boeing B747-300,B743,B743,175.0,26.3,0.15,https://en.wikipedia.org/wiki/Boeing_747#747-300
Boeing B747-400,B744,B744,160.1,24.02,0.15,https://en.wikipedia.org/wiki/Boeing_747#747-300
Boeing B747-400F,B744F,B744,625.0,117.0,0.187,http://www.skycargo.com/english/about-us/our-fleet/?plane=6
Boeing B747-400M,B744M,B744,300.0,45.0,0.15,https://www.afklcargo.com/NL/en/common/about_us/boeing_747_400_combi.jsp
Boeing B747-8,B748,B748,176.0,26.4,0.15,https://en.wikipedia.org/wiki/Boeing_747-8#Variants
Boeing B747-8F,B748F,B748,858.0,140.0,0.163,https://en.wikipedia.org/wiki/Boeing_747-8#Variants
Boeing B747-SP,B747SP,B74S,160.1,24.02,0.15,https://en.wikipedia.org/wiki/Boeing_747SP
Boeing B747-Unspecified,B744,B744,160.1,24.02,0.15,https://en.wikipedia.org/wiki/Boeing_747SP
